C:\ProgramData\Anaconda3\python.exe D:/pycharmproject/DECRA/decra.py
use cuda: True
MNIST samples (70000, 784)
Namespace(batch_size=256, cuda=True, dataset='mnist', gamma=0.1, lr=0.001, n_clusters=10, n_input=784, n_z=10, pretrain_path='data/ae_mnist.pkl', tol=0.0001, update_interval=1)
load pretrained ae from data/ae_mnist.pkl
nmi score=0.7752
Iter 287 :Acc 0.9618 , nmi 0.9136 , ari 0.9187
Iter 288 :Acc 0.9617 , nmi 0.9135 , ari 0.9186
Iter 289 :Acc 0.9618 , nmi 0.9136 , ari 0.9187
Iter 290 :Acc 0.9617 , nmi 0.9134 , ari 0.9185
Iter 291 :Acc 0.9619 , nmi 0.9138 , ari 0.9189
Iter 292 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 293 :Acc 0.9618 , nmi 0.9136 , ari 0.9188
Iter 294 :Acc 0.9619 , nmi 0.9137 , ari 0.9190
Iter 295 :Acc 0.9620 , nmi 0.9141 , ari 0.9191
Iter 296 :Acc 0.9619 , nmi 0.9139 , ari 0.9190
Iter 297 :Acc 0.9619 , nmi 0.9138 , ari 0.9189
Iter 298 :Acc 0.9618 , nmi 0.9136 , ari 0.9187
Iter 299 :Acc 0.9617 , nmi 0.9135 , ari 0.9186
Iter 300 :Acc 0.9617 , nmi 0.9135 , ari 0.9185
Iter 301 :Acc 0.9618 , nmi 0.9137 , ari 0.9187
Iter 302 :Acc 0.9619 , nmi 0.9138 , ari 0.9189
Iter 303 :Acc 0.9615 , nmi 0.9131 , ari 0.9180
Iter 304 :Acc 0.9617 , nmi 0.9136 , ari 0.9185
Iter 305 :Acc 0.9618 , nmi 0.9137 , ari 0.9187
Iter 306 :Acc 0.9618 , nmi 0.9136 , ari 0.9187
Iter 307 :Acc 0.9617 , nmi 0.9137 , ari 0.9186
Iter 308 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 309 :Acc 0.9619 , nmi 0.9141 , ari 0.9191
Iter 310 :Acc 0.9617 , nmi 0.9138 , ari 0.9186
Iter 311 :Acc 0.9618 , nmi 0.9139 , ari 0.9187
Iter 312 :Acc 0.9618 , nmi 0.9138 , ari 0.9188
Iter 313 :Acc 0.9619 , nmi 0.9141 , ari 0.9190
Iter 314 :Acc 0.9617 , nmi 0.9138 , ari 0.9187
Iter 315 :Acc 0.9618 , nmi 0.9139 , ari 0.9187
Iter 316 :Acc 0.9618 , nmi 0.9139 , ari 0.9188
Iter 317 :Acc 0.9618 , nmi 0.9139 , ari 0.9187
Iter 318 :Acc 0.9618 , nmi 0.9137 , ari 0.9187
Iter 319 :Acc 0.9614 , nmi 0.9133 , ari 0.9180
Iter 320 :Acc 0.9615 , nmi 0.9134 , ari 0.9181
Iter 321 :Acc 0.9614 , nmi 0.9132 , ari 0.9180
Iter 322 :Acc 0.9614 , nmi 0.9135 , ari 0.9180
Iter 323 :Acc 0.9615 , nmi 0.9135 , ari 0.9183
Iter 324 :Acc 0.9616 , nmi 0.9136 , ari 0.9184
Iter 325 :Acc 0.9617 , nmi 0.9137 , ari 0.9185
Iter 326 :Acc 0.9616 , nmi 0.9137 , ari 0.9185
Iter 327 :Acc 0.9616 , nmi 0.9137 , ari 0.9184
Iter 328 :Acc 0.9616 , nmi 0.9136 , ari 0.9183
Iter 329 :Acc 0.9617 , nmi 0.9138 , ari 0.9186
Iter 330 :Acc 0.9617 , nmi 0.9138 , ari 0.9186
Iter 331 :Acc 0.9617 , nmi 0.9137 , ari 0.9186
Iter 332 :Acc 0.9617 , nmi 0.9138 , ari 0.9186
Iter 333 :Acc 0.9618 , nmi 0.9140 , ari 0.9189
Iter 334 :Acc 0.9617 , nmi 0.9136 , ari 0.9185
Iter 335 :Acc 0.9618 , nmi 0.9139 , ari 0.9188
Iter 336 :Acc 0.9617 , nmi 0.9137 , ari 0.9187
Iter 337 :Acc 0.9620 , nmi 0.9141 , ari 0.9191
Iter 338 :Acc 0.9618 , nmi 0.9139 , ari 0.9188
Iter 339 :Acc 0.9619 , nmi 0.9140 , ari 0.9190
Iter 340 :Acc 0.9619 , nmi 0.9140 , ari 0.9189
Iter 341 :Acc 0.9618 , nmi 0.9139 , ari 0.9187
Iter 342 :Acc 0.9617 , nmi 0.9139 , ari 0.9187
Iter 343 :Acc 0.9616 , nmi 0.9137 , ari 0.9183
Iter 344 :Acc 0.9616 , nmi 0.9137 , ari 0.9184
Iter 345 :Acc 0.9618 , nmi 0.9138 , ari 0.9187
Iter 346 :Acc 0.9616 , nmi 0.9137 , ari 0.9185
Iter 347 :Acc 0.9616 , nmi 0.9137 , ari 0.9184
Iter 348 :Acc 0.9616 , nmi 0.9137 , ari 0.9185
Iter 349 :Acc 0.9617 , nmi 0.9138 , ari 0.9186
Iter 350 :Acc 0.9616 , nmi 0.9136 , ari 0.9185
Iter 351 :Acc 0.9616 , nmi 0.9135 , ari 0.9183
Iter 352 :Acc 0.9615 , nmi 0.9135 , ari 0.9181
Iter 353 :Acc 0.9615 , nmi 0.9135 , ari 0.9183
Iter 354 :Acc 0.9614 , nmi 0.9135 , ari 0.9181
